,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p
1,AL011980,            UNNAMED, TD,30.5,-76.5,20,7/17/1980 0:00,NA,NA,1,17,NA,NA,NA,NA,NA,NA,55,NA,NA,NA
2,AL011980,            UNNAMED, TD,30.2,-77.2,25,7/17/1980 6:00,NA,NA,2,17,NA,NA,20,NA,NA,NA,55,20,30.5,-76.5
3,AL011980,            UNNAMED, TD,30,-78,25,7/17/1980 12:00,NA,NA,3,17,NA,NA,25,NA,NA,NA,55,25,30.2,-77.2
4,AL011980,            UNNAMED, TD,29.9,-79.3,25,7/17/1980 18:00,NA,NA,4,17,5,125,25,12.86951062,0.035365392,9.266243887,55,25,30,-78
5,AL011980,            UNNAMED, TD,29.8,-80.2,25,7/18/1980 0:00,5,0,5,17,0,0,25,17.07117166,0.035158197,9.266243887,54,25,29.9,-79.3
6,AL011980,            UNNAMED, TD,29.5,-81.1,25,7/18/1980 6:00,0,0,6,17,0,0,25,17.76894951,0.035017921,9.266243887,54,25,29.8,-80.2
7,AL011980,            UNNAMED, TD,29.5,-82,20,7/18/1980 12:00,-5,0,7,17,0,0,25,14.954518,0.034947143,9.266243887,54,25,29.5,-81.1
10,AL011980,            UNNAMED, TD,29.5,-84.7,20,7/19/1980 6:00,-5,0,10,17,0,0,25,16.16419344,0.034659782,9.266243887,53,20,29.4,-84
11,AL011980,            UNNAMED, TD,29.6,-85.8,25,7/19/1980 12:00,5,0,11,17,0,0,25,13.74827927,0.034586883,9.266243887,53,20,29.5,-84.7
12,AL011980,            UNNAMED, TD,29.7,-86.4,25,7/19/1980 18:00,5,0,12,17,5,125,25,14.63452911,0.034586883,9.266243887,53,25,29.6,-85.8
13,AL011980,            UNNAMED, TD,29.8,-87,25,7/20/1980 0:00,5,0,13,17,5,125,25,13.82149181,0.034659782,9.266243887,52,25,29.7,-86.4
14,AL011980,            UNNAMED, TD,29.9,-87.8,25,7/20/1980 6:00,5,0,14,17,0,0,25,9.834876661,0.034732258,9.266243887,52,25,29.8,-87
15,AL011980,            UNNAMED, TD,30,-88.5,25,7/20/1980 12:00,0,0,15,17,0,0,25,11.4087445,0.034804311,9.266243887,52,25,29.9,-87.8
16,AL011980,            UNNAMED, TD,30.4,-89.2,20,7/20/1980 18:00,-5,0,16,17,0,0,25,12.19090521,0.03487594,9.266243887,52,25,30,-88.5
18,AL011981,            UNNAMED, TD,21,-61.5,25,4/6/1981 12:00,NA,NA,1,5,NA,NA,NA,NA,NA,NA,158,NA,NA,NA
19,AL011981,            UNNAMED, TD,20.2,-62.1,30,4/6/1981 18:00,NA,NA,2,5,NA,NA,25,246.3232646,0.035296757,9.266243887,158,25,21,-61.5
20,AL011981,            UNNAMED, TD,19.7,-62.9,30,4/7/1981 0:00,NA,NA,3,5,NA,NA,30,252.2517386,0.035568711,9.266243887,157,30,20.2,-62.1
21,AL011981,            UNNAMED, TD,18.9,-63.4,25,4/7/1981 6:00,NA,NA,4,5,5,150,30,17.11838396,0.02705694,9.266243887,157,30,19.7,-62.9
23,AL011982,            ALBERTO, TD,21.7,-87.1,20,6/2/1982 12:00,NA,NA,1,17,NA,NA,NA,NA,NA,NA,101,NA,NA,NA
24,AL011982,            ALBERTO, TD,22.2,-86.5,25,6/2/1982 18:00,NA,NA,2,17,NA,NA,20,207.3906759,0.024783576,9.266243887,101,20,21.7,-87.1
25,AL011982,            ALBERTO, TD,22.6,-85.8,30,6/3/1982 0:00,NA,NA,3,17,NA,NA,25,199.4144582,0.023767782,9.266243887,100,25,22.2,-86.5
26,AL011982,            ALBERTO, TS,22.8,-85,40,6/3/1982 6:00,NA,NA,4,17,10,300,30,13.9293157,0.027783011,9.266243887,100,30,22.6,-85.8
27,AL011982,            ALBERTO, TS,23.2,-84.2,50,6/3/1982 12:00,30,1,5,17,15,600,40,13.99310974,0.0282915,9.266243887,100,40,22.8,-85
28,AL011982,            ALBERTO, HU,24,-83.6,75,6/3/1982 18:00,50,1,6,17,20,1000,50,14.74561784,0.028692091,9.266243887,100,50,23.2,-84.2
29,AL011982,            ALBERTO, HU,24.8,-83.4,65,6/4/1982 0:00,35,1,7,17,35,2625,75,16.29054419,0.028890295,9.266243887,99,75,24,-83.6
30,AL011982,            ALBERTO, TS,24.9,-84.1,55,6/4/1982 6:00,15,0,8,17,15,1125,75,16.29928087,0.029282467,9.266243887,99,65,24.8,-83.4
37,AL011982,            ALBERTO, TD,25.5,-83.3,25,6/6/1982 0:00,-5,0,15,17,0,0,75,3.829303985,0.031156193,9.266243887,97,25,25.4,-83.6
38,AL011982,            ALBERTO, TD,25.5,-83,25,6/6/1982 6:00,0,0,16,17,0,0,75,5.353325551,0.031245967,9.266243887,97,25,25.5,-83.3
39,AL011982,            ALBERTO, TD,25.5,-82.6,20,6/6/1982 12:00,-5,0,17,17,0,0,75,5.105027861,0.031335361,9.266243887,97,25,25.5,-83
40,AL011983,            UNNAMED, TD,10,-38,20,7/23/1983 12:00,NA,NA,1,22,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
41,AL011983,            UNNAMED, TD,10.2,-39.4,25,7/23/1983 18:00,NA,NA,2,22,NA,NA,20,419.8423464,0.031424372,9.266243887,50,20,10,-38
42,AL011983,            UNNAMED, TD,10.7,-40.8,25,7/24/1983 0:00,NA,NA,3,22,NA,NA,25,404.2985139,0.031424372,9.266243887,49,25,10.2,-39.4
43,AL011983,            UNNAMED, TD,10.9,-42.1,30,7/24/1983 6:00,NA,NA,4,22,5,125,25,26.33437826,0.013830121,9.266243887,49,25,10.7,-40.8
44,AL011983,            UNNAMED, TD,11,-43.4,30,7/24/1983 12:00,10,0,5,22,5,150,30,25.43659925,0.014095055,9.266243887,49,30,10.9,-42.1
45,AL011983,            UNNAMED, TD,11.2,-44.9,30,7/24/1983 18:00,5,0,6,22,5,150,30,23.82418141,0.014754354,9.266243887,49,30,11,-43.4
46,AL011983,            UNNAMED, TD,11.6,-46.2,30,7/25/1983 0:00,5,0,7,22,0,0,30,25.61562206,0.015016827,9.266243887,48,30,11.2,-44.9
47,AL011983,            UNNAMED, TD,11.8,-47.8,30,7/25/1983 6:00,0,0,8,22,0,0,30,26.04267793,0.01514779,9.266243887,48,30,11.6,-46.2
48,AL011983,            UNNAMED, TD,12,-49,30,7/25/1983 12:00,0,0,9,22,0,0,30,26.91292985,0.015409161,9.266243887,48,30,11.8,-47.8
49,AL011983,            UNNAMED, TD,12.1,-50.5,30,7/25/1983 18:00,0,0,10,22,0,0,30,25.66606521,0.015929636,9.266243887,48,30,12,-49
50,AL011983,            UNNAMED, TD,12.2,-52,30,7/26/1983 0:00,0,0,11,22,0,0,30,24.63389104,0.016188713,9.266243887,47,30,12.1,-50.5
51,AL011983,            UNNAMED, TD,12.4,-53.1,30,7/26/1983 6:00,0,0,12,22,0,0,30,27.24408733,0.016447002,9.266243887,47,30,12.2,-52
52,AL011983,            UNNAMED, TD,12.6,-54.5,30,7/26/1983 12:00,0,0,13,22,0,0,30,23.70710573,0.016575846,9.266243887,47,30,12.4,-53.1
53,AL011983,            UNNAMED, TD,13,-56,30,7/26/1983 18:00,0,0,14,22,0,0,30,22.92666727,0.01670449,9.266243887,47,30,12.6,-54.5
54,AL011983,            UNNAMED, TD,13.1,-57.2,30,7/27/1983 0:00,0,0,15,22,0,0,30,26.79748711,0.016961163,9.266243887,46,30,13,-56
